	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
ATXN7L3B														0.000244533											0.000153471		0.003221188			0.003619192
AFF2															0.003617712															0.003617712
KIF21B									0.002483997					0.000866345	0.000264308															0.00361465
SLC34A2														0.000419199		0.003193471														0.00361267
MSR1									0.002722843					0.000740585	0.000148673															0.003612102
NARG2														0.000139733										0.003466872						0.003606605
SLC4A7								0.003557111						4.89E-05																0.003606018
DDX31																			0.003604603											0.003604603
C6orf106															0.000231269	0.003370886														0.003602155
SEC14L1									0.002866151					0.000733599																0.00359975
TAL1															0.000132154				0.003465964											0.003598118
CHRNB2								0.003274801						0.000132746	0.000189971															0.003597519
HMGCS1											0.003102378			9.78E-05	0.000396462															0.003596653
ATRNL1												0.00330868		4.19E-05	0.000239529															0.003590129
RAD1									0.000477692															0.001733436	0.000682945				0.000688637	0.00358271
FAM135A									0.003582688																					0.003582688
ONECUT2									0.000429923					0.000300426	0.000148673			0.002703338												0.00358236
SIRT1									0.003534919					4.19E-05																0.003576839
TOX4										0.002370872				0.000202613	0.000173452										0.000283921				0.000541072	0.00357193
STXBP5															0.000280827			0.00329102												0.003571847
PIGQ			0.001551304																										0.002016724	0.003568028
ANKRD26									0.003343843					0.000223573																0.003567416
TP63															0.000941596										0.000306941				0.002311854	0.003560392
HMGB1									0.000477692															0.003081664						0.003559356
GZMB										0.003556308																				0.003556308
SERPINF1										0.003556308																				0.003556308
MOB3A																			0.00291141						0.000644577					0.003555987
BIN2										0.00338696				0.00016768																0.00355464
ASTN2														0.001641864	0.000173452										0.000775027				0.000959174	0.003549517
CES3			0.003545837																											0.003545837
PTRF				0.002055264												0.001419321									6.91E-05					0.003543646
RNASEH2C									0.001337537						0.000148673														0.002041318	0.003527528
HOOK3																		0.003526093												0.003526093
PLK2																		0.003526093												0.003526093
SMTNL2																		0.003526093												0.003526093
ULBP1			0.001403561						0.000907614						0.000264308										0.000943845					0.003519328
ABCG1															0.000693808			0.002820874												0.003514682
CYP11B1									0.002770612						0.000743365															0.003513978
ZNF260														0.001117865											0.002394144					0.003512008
SF3B3			0.003176479												0.000173452										0.000161144					0.003511075
PICALM									0.002866151																0.000644577					0.003510728
AIRE																0.003370886									0.000138124					0.00350901
RCHY1									0.002149613						0.000371683	0.000798368									0.000184165					0.003503828
GSTA2												0.003503309																		0.003503309
ASXL2														0.00012576	4.96E-05				0.003327326											0.003502643
PRRG1				0.002968714										0.00012576	0.000396462															0.003490936
TAGAP										0.00338696				9.78E-05																0.003484773
VCL			0.003102608												0.000379942															0.00348255
SYNPO														0.000782505	0.000189971									0.002503852						0.003476329
PTAFR														0.000922239	0.001387616										0.001166378					0.003476232
C22orf29															0.000148673				0.002634133						0.000690618					0.003473424
MXRA8			0.003471966																											0.003471966
REXO1L1								0.000734007	0.000334384																0.002401817					0.003470208
WDR91									0.000334384					0.00012576				0.002938411							6.91E-05					0.003467617
POU2F2																								0.003466872						0.003466872
FIZ1																			0.003465964											0.003465964
PTGS2									0.000907614						4.96E-05												0.002505369			0.003462541
RASA3										0.00338696					7.43E-05															0.003461297
OPRL1																0.003459594														0.003459594
KANK2															0.000264308	0.003193471														0.003457779
PLEKHH2																			0.003327326						0.00013045					0.003457776
TMEM198														8.38E-05		0.003370886														0.003454726
WSCD2									0.000955384						0.000181712									0.002311248						0.003448343
ERMN												0.003114052		0.000181653	0.000148673															0.003444378
ESYT3								0.003444187																						0.003444187
ARNT									0.003439381																					0.003439381
ZNF568									0.003439381																					0.003439381
KCNH5														0.000286453															0.003148057	0.00343451
MURC														0.00014672		0.000975783								0.002311248						0.003433751
GPX5																			0.002218217										0.001205116	0.003423333
TSPAN17			0.003102608																										0.000319725	0.003422332
SFR1																0.003370886									4.60E-05					0.003416927
RIMBP2									0.000477692									0.002938411												0.003416103
SNRNP40										0.00338696				2.79E-05																0.003414907
SUOX									0.003009458					0.000398239																0.003407698
CIITA			0.003324223																						7.67E-05					0.003400958
JRKL												0.00330868			9.09E-05															0.003399536
GDAP2										0.003217612					0.000181712															0.003399324
DST												0.00330868		8.38E-05																0.00339252
RDH16														5.59E-05					0.003327326											0.003383219
ING5			0.000517101											0.00016768	0.000181712	0.002040273									0.000475759					0.003382525
ITPRIPL2														0.000139733	0.00022301			0.002820874							0.000176491					0.003360109
TNFAIP8L1																0.002838641									0.000491106					0.003329747
CHURC1									0.001003153																0.002325082					0.003328234
BTBD17																			0.003327326											0.003327326
MPPED1																			0.003327326											0.003327326
WDR4																			0.003327326											0.003327326
MPZ			0.003324223																											0.003324223
INS																													0.003320216	0.003320216
CAPRIN2														0.000810452															0.002508608	0.00331906
CXCL14												0.00330868																		0.00330868
GSTM5												0.00330868																		0.00330868
FUK																										0.003307607				0.003307607
SCD												0.002724796		0.000111786	0.000470798															0.00330738
CREBZF									0.000668769					4.19E-05				0.002585802												0.00329649
LYPD1																													0.003295622	0.003295622
RPP30																			0.003188687						9.98E-05					0.003288443
APOL6			0.000960331											0.000111786				0.001998119							0.000214859					0.003285096
DSTYK			0.002807121																						0.000475759					0.003282881
WDR11										0.003217612				6.29E-05																0.003280492
CARHSP1																			0.002772771						0.000506453					0.003279225
ARHGEF9									0.001576383					0.000461119	0.001238942															0.003276445
SP100			0.001699047											0.000468106					0.001109109											0.003276262
ABHD11																									0.002463205				0.000811608	0.003274814
CLDN16																								0.003274268						0.003274268
ADAR								0.003161877						0.000111786																0.003273663
ARIH1				0.003197077										6.99E-05																0.003266944
LPIN3			0.001329689											0.000153706	0.00021475	0.001330613									0.00023788					0.003266638
